status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,default,amount_per_month,age_group,duration_group,amount_group
no checking account,24,critical account/other credits existing,domestic appliances,2424,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,53,none,own,2,skilled employee/official,1,no,yes,0,101.0,over_50,medium_term,large
... < 100 DM,30,no credits taken/all credits paid back duly,others,8072,unknown/no savings account,... < 1 year,2,male : single,none,3,car or other,25,bank,own,3,skilled employee/official,1,no,yes,0,269.06666666666666,under_25,long_term,very_large
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown/no property,44,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,524.125,36-50,medium_term,too_much
no checking account,24,existing credits paid back duly till now,domestic appliances,3430,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,2,car or other,31,none,own,1,skilled employee/official,2,yes,yes,0,142.91666666666666,25-35,medium_term,large
no checking account,9,critical account/other credits existing,car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,48,none,own,3,skilled employee/official,1,yes,yes,0,237.11111111111111,36-50,short_term,large
... < 100 DM,6,existing credits paid back duly till now,domestic appliances,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,3,real estate,44,none,rent,1,skilled employee/official,2,no,yes,0,441.1666666666667,36-50,short_term,large
... < 100 DM,10,critical account/other credits existing,car (new),2241,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,no,no,0,224.1,36-50,short_term,large
0 <= ... < 200 DM,12,critical account/other credits existing,car (used),1804,100 <= ... < 500 DM,... < 1 year,3,male : single,none,4,building society savings agreement/life insurance,44,none,own,1,skilled employee/official,1,no,yes,0,150.33333333333334,36-50,short_term,smallmedium
no checking account,10,critical account/other credits existing,radio/television,2069,unknown/no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,car or other,26,none,own,2,skilled employee/official,1,no,no,0,206.9,25-35,short_term,large
... < 100 DM,6,existing credits paid back duly till now,radio/television,1374,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,0,229.0,36-50,short_term,smallmedium
no checking account,6,no credits taken/all credits paid back duly,domestic appliances,426,... < 100 DM,... >= 7 years,4,male : married/widowed,none,4,car or other,39,none,own,1,unskilled - resident,1,no,yes,0,71.0,36-50,short_term,smallmedium
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,domestic appliances,409,... >= 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee/official,1,no,yes,0,34.083333333333336,36-50,short_term,smallmedium
0 <= ... < 200 DM,7,existing credits paid back duly till now,domestic appliances,2415,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employee/official,1,no,yes,0,345.0,25-35,short_term,large
... < 100 DM,60,delay in paying off in the past,others,6836,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,63,none,own,2,skilled employee/official,1,yes,yes,1,113.93333333333334,over_50,very_long_term,very_large
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,1913,... >= 1000 DM,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee/official,1,yes,yes,0,106.27777777777777,36-50,medium_term,smallmedium
... < 100 DM,24,existing credits paid back duly till now,radio/television,4020,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,27,stores,own,1,skilled employee/official,1,no,yes,0,167.5,25-35,medium_term,large
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,30,none,own,2,skilled employee/official,1,yes,yes,0,325.8888888888889,25-35,medium_term,very_large
no checking account,12,critical account/other credits existing,others,1264,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,57,none,rent,1,unskilled - resident,1,no,yes,0,105.33333333333333,over_50,short_term,smallmedium
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,radio/television,1474,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,122.83333333333333,25-35,short_term,smallmedium
0 <= ... < 200 DM,45,critical account/other credits existing,domestic appliances,4746,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,25,none,own,2,unskilled - resident,1,no,yes,1,105.46666666666667,under_25,very_long_term,large
no checking account,48,critical account/other credits existing,retraining,6110,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown/no property,31,bank,for free,1,skilled employee/official,1,yes,yes,0,127.29166666666667,25-35,very_long_term,very_large
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,domestic appliances,2100,... < 100 DM,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employee/official,1,no,yes,1,116.66666666666667,36-50,medium_term,large
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,repairs,1225,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes,0,122.5,36-50,short_term,smallmedium
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,458,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee/official,1,no,yes,0,50.888888888888886,under_25,short_term,smallmedium
no checking account,30,existing credits paid back duly till now,domestic appliances,2333,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,2,car or other,30,bank,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,0,77.76666666666667,25-35,long_term,large
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,none,1,car or other,26,none,own,1,skilled employee/official,1,yes,yes,0,96.5,25-35,short_term,smallmedium
0 <= ... < 200 DM,18,delay in paying off in the past,education,6204,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,0,344.6666666666667,36-50,medium_term,very_large
... < 100 DM,30,critical account/other credits existing,car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,none,4,car or other,24,none,rent,2,skilled employee/official,1,no,yes,0,206.23333333333332,under_25,long_term,very_large
... < 100 DM,48,critical account/other credits existing,car (used),6143,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,58,stores,for free,2,unskilled - resident,1,no,yes,1,127.97916666666667,over_50,very_long_term,very_large
no checking account,11,critical account/other credits existing,car (new),1393,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,car or other,35,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0,126.63636363636364,25-35,short_term,smallmedium
no checking account,36,existing credits paid back duly till now,domestic appliances,2299,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,car or other,39,none,own,1,skilled employee/official,1,no,yes,0,63.861111111111114,36-50,long_term,large
... < 100 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,1,unemployed/unskilled - non-resident,1,yes,yes,0,225.33333333333334,under_25,short_term,smallmedium
no checking account,11,critical account/other credits existing,car (new),7228,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/life insurance,39,none,own,2,unskilled - resident,1,no,yes,0,657.0909090909091,36-50,short_term,very_large
no checking account,12,existing credits paid back duly till now,domestic appliances,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,0,172.75,25-35,short_term,large
0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,2333,unknown/no savings account,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,no,yes,0,97.20833333333333,25-35,medium_term,large
0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,... >= 7 years,1,male : single,none,2,car or other,30,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,220.92592592592592,25-35,long_term,very_large
no checking account,12,existing credits paid back duly till now,domestic appliances,1262,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,25,none,own,1,skilled employee/official,1,no,yes,0,105.16666666666667,under_25,short_term,smallmedium
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,1,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,yes,yes,0,187.66666666666666,25-35,medium_term,large
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,57,bank,for free,2,skilled employee/official,1,yes,yes,1,61.80555555555556,over_50,long_term,large
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/no savings account,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,no,yes,0,130.5,25-35,short_term,smallmedium
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,6468,unknown/no savings account,unemployed,2,male : single,none,1,unknown/no property,52,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,539.0,over_50,short_term,very_large
no checking account,36,critical account/other credits existing,domestic appliances,9566,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,31,stores,own,2,skilled employee/official,1,no,yes,0,265.72222222222223,25-35,long_term,very_large
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,2,car or other,23,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,0,108.94444444444444,under_25,medium_term,smallmedium
... < 100 DM,36,critical account/other credits existing,radio/television,6229,... < 100 DM,... < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown/no property,23,none,rent,2,unskilled - resident,1,yes,yes,1,173.02777777777777,under_25,long_term,very_large
0 <= ... < 200 DM,9,existing credits paid back duly till now,others,1391,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,27,bank,own,1,skilled employee/official,1,yes,yes,0,154.55555555555554,25-35,short_term,smallmedium
0 <= ... < 200 DM,15,critical account/other credits existing,domestic appliances,1537,unknown/no savings account,... >= 7 years,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employee/official,1,yes,yes,0,102.46666666666667,36-50,medium_term,smallmedium
0 <= ... < 200 DM,36,no credits taken/all credits paid back duly,others,1953,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,61,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,54.25,over_50,long_term,smallmedium
0 <= ... < 200 DM,48,no credits taken/all credits paid back duly,others,14421,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,25,none,own,1,skilled employee/official,1,yes,yes,1,300.4375,under_25,very_long_term,too_much
no checking account,24,existing credits paid back duly till now,domestic appliances,3181,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,0,132.54166666666666,25-35,medium_term,large
no checking account,27,existing credits paid back duly till now,education,5190,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,48,none,own,4,skilled employee/official,2,yes,yes,0,192.22222222222223,36-50,long_term,very_large
no checking account,12,existing credits paid back duly till now,domestic appliances,2171,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,no,yes,0,180.91666666666666,25-35,short_term,large
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,... >= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee/official,1,no,yes,0,83.91666666666667,under_25,short_term,smallmedium
no checking account,36,existing credits paid back duly till now,retraining,1819,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,37,stores,for free,1,skilled employee/official,1,yes,yes,1,50.52777777777778,36-50,long_term,smallmedium
no checking account,36,existing credits paid back duly till now,domestic appliances,2394,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee/official,1,no,yes,0,66.5,under_25,long_term,large
no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,bank,own,1,skilled employee/official,1,no,yes,0,225.91666666666666,25-35,long_term,very_large
no checking account,7,critical account/other credits existing,domestic appliances,730,unknown/no savings account,... >= 7 years,4,male : single,none,2,building society savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,0,104.28571428571429,36-50,short_term,smallmedium
... < 100 DM,8,critical account/other credits existing,furniture/equipment,1164,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,51,bank,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0,145.5,over_50,short_term,smallmedium
0 <= ... < 200 DM,42,critical account/other credits existing,others,5954,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,no,yes,0,141.76190476190476,36-50,very_long_term,very_large
... < 100 DM,36,existing credits paid back duly till now,retraining,1977,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,54.916666666666664,36-50,long_term,smallmedium
... < 100 DM,12,critical account/other credits existing,car (used),1526,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,66,none,for free,2,management/self-employed/highly qualified employee/officer,1,no,yes,0,127.16666666666667,over_50,short_term,smallmedium
... < 100 DM,42,existing credits paid back duly till now,domestic appliances,3965,... < 100 DM,... < 1 year,4,male : single,none,3,car or other,34,none,own,1,skilled employee/official,1,no,yes,1,94.4047619047619,25-35,very_long_term,large
0 <= ... < 200 DM,11,delay in paying off in the past,domestic appliances,4771,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/life insurance,51,none,own,1,skilled employee/official,1,no,yes,0,433.72727272727275,over_50,short_term,large
no checking account,54,no credits taken/all credits paid back duly,car (used),9436,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/life insurance,39,none,own,1,unskilled - resident,2,no,yes,0,174.74074074074073,36-50,very_long_term,very_large
0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,3832,... < 100 DM,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,no,yes,0,127.73333333333333,under_25,long_term,large
no checking account,24,existing credits paid back duly till now,domestic appliances,5943,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee/official,1,yes,yes,1,247.625,36-50,medium_term,very_large
no checking account,15,existing credits paid back duly till now,domestic appliances,1213,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,47,stores,own,1,skilled employee/official,1,yes,yes,0,80.86666666666666,36-50,medium_term,smallmedium
no checking account,18,existing credits paid back duly till now,others,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,no,yes,0,87.11111111111111,under_25,medium_term,smallmedium
... < 100 DM,24,existing credits paid back duly till now,furniture/equipment,1755,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,0,73.125,over_50,medium_term,smallmedium
... < 100 DM,10,existing credits paid back duly till now,domestic appliances,2315,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,no,yes,0,231.5,over_50,short_term,large
no checking account,12,critical account/other credits existing,others,1412,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,117.66666666666667,25-35,short_term,smallmedium
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,1295,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,no,yes,0,71.94444444444444,25-35,medium_term,smallmedium
0 <= ... < 200 DM,36,existing credits paid back duly till now,retraining,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,2,yes,yes,1,350.3333333333333,36-50,long_term,too_much
... < 100 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,0,124.94444444444444,25-35,medium_term,large
... < 100 DM,12,no credits taken/all credits paid back duly,education,1108,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee/official,1,no,yes,1,92.33333333333333,25-35,short_term,smallmedium
no checking account,12,critical account/other credits existing,domestic appliances,618,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,56,none,own,1,skilled employee/official,1,no,yes,0,51.5,over_50,short_term,smallmedium
... < 100 DM,12,critical account/other credits existing,car (used),1409,... < 100 DM,... >= 7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee/official,1,no,yes,0,117.41666666666667,over_50,short_term,smallmedium
no checking account,12,critical account/other credits existing,domestic appliances,797,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,no,yes,1,66.41666666666667,25-35,short_term,smallmedium
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,radio/television,3617,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,4,unknown/no property,20,none,rent,2,skilled employee/official,1,no,yes,0,150.70833333333334,under_25,medium_term,large
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee/official,1,yes,yes,0,109.83333333333333,over_50,short_term,smallmedium
0 <= ... < 200 DM,54,no credits taken/all credits paid back duly,others,15945,... < 100 DM,... < 1 year,3,male : single,none,4,unknown/no property,58,none,rent,1,skilled employee/official,1,yes,yes,1,295.27777777777777,over_50,very_long_term,too_much
no checking account,12,critical account/other credits existing,retraining,2012,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee/official,1,no,yes,0,167.66666666666666,over_50,short_term,large
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,34,none,own,1,skilled employee/official,1,no,yes,0,145.66666666666666,25-35,medium_term,large
0 <= ... < 200 DM,36,critical account/other credits existing,domestic appliances,2337,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee/official,1,no,yes,0,64.91666666666667,36-50,long_term,large
0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0,352.85,36-50,medium_term,very_large
no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,... >= 7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,no,yes,0,61.208333333333336,36-50,medium_term,smallmedium
0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,2323,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,car or other,24,none,rent,1,skilled employee/official,1,no,yes,0,64.52777777777777,under_25,long_term,large
no checking account,6,delay in paying off in the past,domestic appliances,932,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,no,yes,0,155.33333333333334,under_25,short_term,smallmedium
0 <= ... < 200 DM,9,critical account/other credits existing,radio/television,1919,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,35,none,rent,1,skilled employee/official,1,yes,yes,0,213.22222222222223,25-35,short_term,smallmedium
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/no savings account,... < 1 year,2,male : married/widowed,none,4,car or other,26,none,rent,1,skilled employee/official,1,yes,yes,0,203.75,25-35,short_term,large
0 <= ... < 200 DM,24,critical account/other credits existing,furniture/equipment,11938,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,39,none,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,497.4166666666667,36-50,medium_term,too_much
no checking account,18,all credits at this bank paid back duly,car (new),6458,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,39,bank,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,358.77777777777777,36-50,medium_term,very_large
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,car or other,32,none,own,1,skilled employee/official,1,no,yes,0,506.5,25-35,short_term,very_large
... < 100 DM,24,existing credits paid back duly till now,radio/television,7721,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,yes,no,0,321.7083333333333,25-35,medium_term,very_large
0 <= ... < 200 DM,14,existing credits paid back duly till now,others,1410,500 <= ... < 1000 DM,... >= 7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee/official,1,yes,yes,0,100.71428571428571,25-35,medium_term,smallmedium
0 <= ... < 200 DM,6,delay in paying off in the past,others,1449,100 <= ... < 500 DM,... >= 7 years,1,male : divorced/separated,none,2,car or other,31,bank,own,2,skilled employee/official,2,no,yes,0,241.5,25-35,short_term,smallmedium
... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,retraining,392,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,rent,1,skilled employee/official,1,yes,yes,0,26.133333333333333,under_25,medium_term,smallmedium
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,no,yes,0,347.77777777777777,25-35,medium_term,very_large
no checking account,36,critical account/other credits existing,car (new),7855,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee/official,1,yes,yes,1,218.19444444444446,under_25,long_term,very_large
... < 100 DM,12,existing credits paid back duly till now,domestic appliances,1680,500 <= ... < 1000 DM,... >= 7 years,3,male : married/widowed,none,1,real estate,35,none,own,1,skilled employee/official,1,no,yes,0,140.0,25-35,short_term,smallmedium
no checking account,48,critical account/other credits existing,domestic appliances,3578,unknown/no savings account,... >= 7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee/official,1,yes,yes,0,74.54166666666667,36-50,very_long_term,large
... < 100 DM,42,existing credits paid back duly till now,domestic appliances,7174,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,170.8095238095238,25-35,very_long_term,very_large
... < 100 DM,10,critical account/other credits existing,radio/television,2132,unknown/no savings account,... < 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee/official,1,no,no,0,213.2,25-35,short_term,large
